,kinase,kinase_name,TF,gene,p_value,r_squared,adjusted_r_squared,tf_coef,kinase_coef,interaction_coef,BH_critical_value,effect_on_tf,effect_on_gene,tfs_targeting_gene,kinases_targeting_tf,kinases_targeting_tfs_targeting_gene,tf_targets_num_genes,kinase_targets_num_genes,tf_coefficient_regularized,kinase_coefficient_regularized,interaction_coefficient_regularized,name,tnseq_ess,crispr_ess,Vulnerability Index
44,Rv0931c,PknD,Rv0081,Rv0493c,3.045692916693004e-18,0.4754370619381033,0.4565763720302599,-0.06657896261682665,-0.6891889273845541,0.16255223154798978,0.0002749266862170088,-1.0,1.0,3,5,5,280,23,-0.05290763614841143,-0.4547512384021053,0.11055000331820752,Rv0493c,NonEssential,NonEssential,1.172
45,Rv1746,PknF,Rv0023,Rv0654,3.079447389262682e-18,0.49633719349151006,0.4793978614340496,-0.07246267470995565,-0.9933057291428499,-0.6122874606669688,0.0002810361681329423,1.0,-1.0,2,3,5,481,42,-0.03641979779226076,-0.7053168748159591,-0.5386674888503723,Rv0654,NonEssential,NonEssential,1.211
46,Rv2914c,PknI,Rv3676,Rv2078,3.51309313652645e-18,0.3739035730154291,0.3542942889487982,0.0452968941058528,-0.20387333648470962,-0.5910796729465525,0.0002871456500488759,-1.0,-1.0,4,3,4,58,8,0.001699598792045744,-0.16583957779259662,-0.4600338122883214,Rv2078,NonEssential,NonEssential,0.271
47,Rv1746,PknF,Rv0491,Rv0784,4.661623125738615e-18,0.4751763289093217,0.464726300060171,0.29809320600607025,0.0037526074099073683,0.460262332747512,0.0002932551319648094,1.0,1.0,2,2,3,21,42,0.27388166369869016,-0.018236953832362075,0.3833157231927803,Rv0784,NonEssential,NonEssential,0.156
48,Rv1746,PknF,Rv0023,Rv0263c,5.711827397338072e-18,0.5975069452545301,0.5849008987971775,-0.2502220765491195,0.582110074238616,0.5613040067939117,0.00029936461388074294,-1.0,1.0,4,3,3,481,42,-0.1805445861764008,0.5021854812742249,0.4970855475698187,Rv0263c,NonEssential,NonEssential,0.291
49,Rv0931c,PknD,Rv3223c,Rv3465,5.786305900157216e-18,0.6800452558850497,0.6722241399177953,0.12639163718901697,0.49756297570444924,0.433914384079337,0.00030547409579667644,1.0,1.0,1,5,5,110,23,0.07038421969454173,0.44616304821354563,0.3240646918144537,rmlC,Essential,NonEssential,-0.988
50,Rv0410c,PknG,Rv0047c,Rv1347c,8.285357316491219e-18,0.49643203835568395,0.4783262240044277,0.012565290888342465,0.34842635619452683,0.32316247404483234,0.00031158357771261,1.0,1.0,4,4,5,41,4,-0.014252484063414974,0.29726955153673734,0.26025826053370166,mbtK,NonEssential,NonEssential,0.675
51,Rv0931c,PknD,Rv3223c,Rv2398c,9.301632732420177e-18,0.5098389368004094,0.49335369924885364,0.7768580920889423,0.28241703821765385,0.6249187200781544,0.00031769305962854355,1.0,1.0,3,5,5,110,23,0.6719763174332457,0.24669731717183632,0.5331234232306487,cysW,Essential,NonEssential,-0.518
52,Rv1746,PknF,Rv0023,Rv1950c,1.74693208945407e-17,0.5576340566289816,0.5478254991262983,-0.4937629682821032,0.240833876978798,-0.4548707386953433,0.00032380254154447706,1.0,-1.0,2,3,3,481,42,-0.45781769624411917,0.21959532512669916,-0.4277773823038783,Rv1950c,NonEssential,NonEssential,0.759
53,Rv3080c,PknK,Rv0023,Rv0213c,1.9820181173803693e-17,0.3527522153735032,0.34132179092093806,-0.10842940657816917,0.0190148478356569,0.21072924235468074,0.0003299120234604106,-1.0,1.0,2,3,3,481,72,-0.11565009387909538,0.02877322221630436,0.19268605558151217,Rv0213c,NonEssential,NonEssential,1.316
54,Rv3080c,PknK,Rv0023,Rv1015c,2.1853766869304963e-17,0.4767641958531864,0.46869668345444704,-0.012742890444559892,-0.27720668637096757,-0.3218768009793611,0.0003360215053763441,1.0,-1.0,1,3,3,481,72,-0.013780995872686743,-0.24562920765641133,-0.3392899764975034,rplY,Essential,Essential,-4.573
55,Rv0931c,PknD,Rv3223c,Rv1471,2.5277810478649407e-17,0.8330633195216378,0.8270611017965731,0.7654751956208619,-0.19063015560029029,0.5569503342633211,0.0003421309872922776,1.0,1.0,3,5,5,110,23,0.6380120476208629,-0.23386061615744178,0.42998796333505807,trxB1,NonEssential,NonEssential,0.463
56,Rv3080c,PknK,Rv0023,Rv3360,2.7672539673160752e-17,0.4777047027803861,0.4696516915897754,0.48722666401490095,0.3432139448000521,0.33169295371055263,0.00034824046920821117,1.0,1.0,1,3,3,481,72,0.44336848498928766,0.3452577672757372,0.2769188765514867,Rv3360,NonEssential,NonEssential,0.486
57,Rv0931c,PknD,Rv0081,Rv0113,3.3732014364225827e-17,0.5841371348339719,0.5711123471106511,-0.04419489926462502,-1.053653013736171,0.2407780861809696,0.00035434995112414467,-1.0,1.0,3,5,5,280,23,-0.013732745163706844,-0.646576919785799,0.16455118239140162,gmhA,NonEssential,NonEssential,-0.283
58,Rv1746,PknF,Rv0023,Rv2018,3.95223561758494e-17,0.4293906039785692,0.4205926617491639,-0.37682005721358885,-0.13155036518086344,-0.336106273615752,0.00036045943304007823,1.0,-1.0,1,3,3,481,42,-0.3498460290184342,-0.1285905636656288,-0.3003968762230781,Rv2018,NonEssential,NonEssential,-5.85
59,Rv1746,PknF,Rv3223c,Rv0140,4.552165843470454e-17,0.6871547292221042,0.6766330272901122,1.076579037104645,0.0777496453585419,-0.7074730730964183,0.0003665689149560118,-1.0,-1.0,2,5,5,110,42,0.9073252722221248,-0.018932078098657903,-0.4271561030127342,Rv0140,NonEssential,NonEssential,0.158
60,Rv3080c,PknK,Rv0023,Rv1856c,4.883166286589219e-17,0.30490481694951077,0.29418749033860014,0.28180263754383444,-0.6191613409192961,-0.47959006635144874,0.0003726783968719453,-1.0,-1.0,1,3,3,481,72,0.25387122034760434,-0.5422466270904633,-0.4379467051787992,Rv1856c,NonEssential,NonEssential,1.063
61,Rv3080c,PknK,Rv0818,Rv2513,4.895729926157877e-17,0.22134841155779683,0.21108047852339418,0.15831920463935462,-0.163126286217188,-0.43475459757628965,0.00037878787878787884,-1.0,-1.0,2,2,2,313,72,0.13744660691923602,-0.14052837449406622,-0.3757148489383575,Rv2513,NonEssential,NonEssential,1.337
62,Rv1746,PknF,Rv3417c,Rv2699c,5.508453652918408e-17,0.8279241707825323,0.8213356818260077,0.5100149259356749,0.13252936248408226,0.47100302069384076,0.00038489736070381234,1.0,1.0,1,8,8,18,42,0.5250403774961903,0.12345452928054888,0.3946353558931929,Rv2699c,Essential,NonEssential,-6.761
63,Rv1746,PknF,Rv0023,Rv3535c,7.153009419954556e-17,0.43761008016850833,0.4289388699508422,-0.13739788970816283,-0.6604144947647761,-0.4136950413110616,0.00039100684261974585,1.0,-1.0,1,3,3,481,42,-0.13649827014423987,-0.6013606452874407,-0.3695947125206218,hsaG,NonEssential,NonEssential,0.555
